,Unnamed: 0,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,umap_3d_x,umap_3d_y,umap_3d_z
0,0,"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",https://www.foxnews.com/entertainment/australian-actress-yael-stone-giving-up-green-card-fight-climate-change,Fox News,environment,right,Non-biased,Entirely factual,[],3.022233,4.225256,3.3652663
1,1,"""We have one beautiful law,"" Trump recently said in his characteristically bizarre syntax and diction, repeating the word ""beautiful.""",https://www.alternet.org/2020/06/law-and-order-is-a-debased-concept-used-to-cover-up-right-wing-crime-and-depravity-heres-why/,Alternet,gun control,left,Biased,Somewhat factual but also opinionated,"['bizarre', 'characteristically']",5.895812,7.127312,3.001246
2,2,"...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.",https://www.nbcnews.com/news/latino/after-stephen-miller-s-white-nationalist-views-outed-latinos-ask-n1096071,MSNBC,white-nationalism,left,Biased,Expresses writer’s opinion,"['criminals', 'fringe', 'extreme']",7.2145658,6.9948006,3.154301
3,3,"...we sounded the alarm in the early months of Trump’s presidency, when prime-time Fox News host Tucker Carlson began to experiment with segments that used euphemisms like “Western civilization” to package the idea that white people are inherently more civilized while people of color are a threat to national stability.",https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/,Alternet,white-nationalism,left,Biased,Somewhat factual but also opinionated,[],6.822559,6.7291517,3.0927455
4,4,"[Black Lives Matter] is essentially a non-falsifiable religious cult that sets itself specifically against Christianity, just like the French Revolution did.",http://feedproxy.google.com/~r/breitbart/~3/-vHhfcwC74U/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,['cult'],8.182714,7.412569,2.5189967
5,5,[Democrats employ] their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election.,https://thefederalist.com/2020/09/22/democrats-ramp-up-their-war-on-americas-institutions-promising-riots-if-trump-nominates-a-justice/,Federalist,vaccine,,Biased,Expresses writer’s opinion,"['apparent', 'crime']",6.014238,6.1010113,4.65981
6,6,[Newsoms's] obsession with masks has created an almost hostile environment in our neighborhoods and streets.,https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/,Federalist,vaccine,,Biased,Expresses writer’s opinion,['obsession'],6.1720376,4.477506,3.839101
7,7,[Newsoms's] onslaught of propaganda ignores conflicting science on mask-wearing (some studies suggest it may even increase infection) and vilifying those who ever leave their house with a wish to breath unimpeded oxygen as they walk down the sidewalk alone.,https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/,Federalist,vaccine,,Biased,Expresses writer’s opinion,"['propaganda', 'vilifying', 'unimpeded']",6.0746775,4.256817,3.9227154
8,8,"[The police] now prefer to think of themselves more like glorified social workers, there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals.",http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,['wounds'],7.9475226,7.7002482,2.1002965
9,9,‘A new low’: Washington Post media critic blows up Tucker Carlson’s absurd lies about white nationalism,https://www.alternet.org/2019/08/a-new-low-washington-post-media-critic-blows-up-tucker-carlsons-absurd-lies-about-white-nationalism/,Alternet,white-nationalism,left,Biased,Expresses writer’s opinion,"['blows', 'up', 'absurd', 'lies', 'nationalism', 'white']",6.9659104,6.582515,3.1638994
10,10,‘Gangster capitalist’ Trump is running a ‘mafia state’ — and things are about to get worse: Pulitzer Prize-winning journalist,https://www.alternet.org/2020/07/gangster-capitalist-trump-is-running-a-mafia-state-and-things-are-about-to-get-worse-pulitzer-prize-winning-journalist/,Alternet,black lives matter,left,Biased,Somewhat factual but also opinionated,"['Gangster', 'mafia', 'state', 'capitalist']",5.475449,6.228971,3.8825517
11,11,‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise,https://feeds.feedblitz.com/~/629983109/0/alternet_all~%e2%80%98The-most-progressive-president-since-FDR%e2%80%99-Biden%e2%80%99s-policy-proposals-reveal-a-pleasant-surprise/,Alternet,universal health care,left,Non-biased,Expresses writer’s opinion,['pleasant'],5.131127,6.8879585,4.4863534
12,12,"‘Woke’ is not a dirty word but a moral duty, says a senior BBC editor, defending the corporation’s decision to ‘repurpose’ classic novels by giving them more black, female and Asian characters even when this is historically inaccurate.",https://www.breitbart.com/europe/2020/02/25/going-woke-is-a-moral-duty-claims-bbc-head-of-drama/,Breitbart,marriage-equality,,Non-biased,Entirely factual,[],7.8640127,6.1518807,3.0839255
13,13,“Harry Potter” author J.K. Rowling said on Monday she had recovered from a suspected case of COVID-19 after two weeks of illness.,https://www.reuters.com/article/us-health-coronavirus-jkrowling/harry-potter-author-j-k-rowling-says-fully-recovered-from-likely-coronavirus-idUSKBN21O2KU?feedType=RSS&feedName=peopleNews,Reuters,blm,,Non-biased,Entirely factual,[],8.897929,5.392703,2.891783
14,14,"“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.",https://www.reuters.com/article/us-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUSKBN27V04W,Reuters,vaccine,,Non-biased,Entirely factual,[],5.4039125,6.2097697,4.1815104
15,15,"“I would shut it down; I would listen to the scientists,” Biden told ABC News alongside his new vice presidential running mate, California Sen. Kamala Harris.",https://thefederalist.com/2020/08/22/biden-i-will-shut-down-nation-in-january-if-scientists-tell-me-to/,Federalist,vaccine,,Non-biased,Entirely factual,[],5.2070284,4.3596272,4.59674
16,16,"“Mike Pence and the task force have done a great job,” Trump said during a visit to a mask factory in Arizona.",https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],5.491075,4.1873994,4.3371935
17,17,"“She will be inheriting a government in crisis,” the post states, touting a plethora of false narratives routinely peddled by Trump’s critics.",https://www.breitbart.com/politics/2020/01/23/elizabeth-warren-vows-to-fill-half-her-cabinet-positions-with-women-and-non-binary-people/,Breitbart,marriage-equality,,Biased,Somewhat factual but also opinionated,[],5.212804,5.501716,3.9343634
18,18,"“The goal is to send a message of peace,” the 22-year-old claimed. He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd’s death, with a police officer on the thief’s neck.",http://feedproxy.google.com/~r/breitbart/~3/KernUHEqyEk/,Breitbart,black lives matter,right,Non-biased,Somewhat factual but also opinionated,['claimed'],8.259995,8.0471325,1.5850029
19,19,"“We can’t keep our country closed for the next five years,” Trump said, when asked why it was time to wind down the task force.",https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],5.1527624,4.2244015,4.381555
20,20,"“You know, there’s over 100 million people with preexisting conditions,” he said, claiming, “They weren’t able to get insurance before; now they cannot be denied insurance.”",http://feedproxy.google.com/~r/breitbart/~3/hmjqwWAvPXQ/,Breitbart,universal health care,right,Biased,Somewhat factual but also opinionated,['claiming'],5.1329947,5.907201,6.355197
21,21,23 people were arrested for offences including assaulting police officers at the Antifa and Black Lives Matter demonstrations in London on Sunday.,https://www.breitbart.com/europe/2020/06/01/23-arrested-london-black-lives-matter-protests-police-assaulted/,Breitbart,black lives matter,right,Non-biased,Entirely factual,[],7.4495435,8.006731,1.5672821
22,22,"A 10-hour hearing broadcast on the court’s website showed Sun, China's greatest ever swimmer, and one of its biggest sports stars, to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English.",https://www.foxnews.com/sports/olympic-swimming-sun-yang-banned-doping,Fox News,sport,right,Non-biased,Somewhat factual but also opinionated,[],8.428429,4.9000306,1.2658527
23,23,"A 16-time NBA All Star who is considered one of the greatest basketball players of all time, James, 35, reacted angrily this week to the shooting of Blake in Kenosha, Wisconsin, which sparked days of civil unrest.",https://www.reuters.com/article/us-usa-election-james/nba-star-lebron-james-emerges-as-potent-political-force-ahead-of-november-u-s-election-idUSKBN25O1B10,Reuters,black lives matter,center,Non-biased,Entirely factual,[],8.251574,8.147329,1.5690917
24,24,"A 24-year-old woman in Uganda, unable to travel due to coronavirus restrictions, was burned by her Muslim father for purportedly converting to Christianity, according to a persecution watchdog group.",https://www.foxnews.com/world/coronavirus-persecution-islam-christianity-conversion-uganda,Fox News,islam,,Non-biased,Entirely factual,[],7.2747293,5.302011,2.0441053
25,25,"A 60-foot chunk of the Ocean Cleanup device, deployed with much fanfare in the Great Pacific Garbage Patch in October, has broken off and the entire plastic collection system will now be towed back to port for an overhaul and upgrade.",https://eu.usatoday.com/story/news/2019/01/02/ocean-cleanup-device-great-pacific-garbage-patch-breaks/2465082002/,USA Today,environment,center,Non-biased,Entirely factual,['fanfare'],3.4319513,4.1432085,3.9568462
26,26,"A 70% majority of Americans view the economy as unfairly favoring those with power, and large majorities also say politicians, giant corporations, and wealthy individuals wield too much power over the economy, according to Pew Research Center.",https://www.alternet.org/2020/01/70-percent-of-americans-say-us-economic-system-unfairly-benefits-the-powerful/,Alternet,middle-class,left,Non-biased,Entirely factual,[],3.3017373,6.0963945,4.2280536
27,27,A Biden victory would be a victory for radical anti-Americanism.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['radical', 'anti-Americanism']",5.4895573,7.1039042,4.3877397
28,28,A Biden victory would be a victory for violence in the streets reinforced by an anti-police and pro-criminal bias.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['anti-police', 'pro-criminal']",5.625823,7.215934,4.2672095
